time,id,query,rank,sequence
0:00:00,2.9822E+15,[360安全卫士],8,3
0:00:00,7.59422E+15,[哄抢救灾物资],1,1
0:00:00,5.22806E+15,[75810部队],14,5
0:00:00,6.14046E+15,[绳艺],62,36
0:00:00,8.56137E+15,[汶川地震原因],3,2
0:00:00,2.39081E+16,[莫衷一是的意思],1,2
0:00:00,1.79794E+15,[星梦缘全集在线观看],8,5
0:00:00,7.17726E+14,[闪字吧],1,2
0:00:00,4.14162E+16,[霍震霆与朱玲玲照片],2,6
0:00:00,9.97567E+15,[电脑创业],2,2
0:00:00,2.16034E+16,[111aa图片],1,6
0:00:00,7.42387E+15,[豆腐的制成],3,13
0:00:00,6.16878E+14,[tudou.com+禁播电影],2,9
0:00:00,3.93337E+15,[最佳受孕时间],6,3
0:00:00,8.24239E+15,[捷克民歌土风舞++教案],2,3
0:00:00,8.2484E+15,[pdf],1,1
0:00:00,6.23973E+15,[喷嘭乐团lonely+day],7,9
0:00:00,6.55118E+15,[尼康相机报价],6,4
0:00:00,2.34516E+15,[哄抢救灾物资],2,1
0:00:00,6.47845E+15,[1000],4,1
0:00:00,2.34054E+16,[剑荡天下+++展鹏],4,5
0:00:00,2.34578E+16,[人妖],4,1
0:00:00,4.62522E+15,[印尼排华是怎么回事],2,6
0:00:00,4.87311E+16,[东莞市塘厦新泰塑胶五金厂],10,44
0:00:00,4.85308E+16,[胡其美],26,3
0:00:00,5.75066E+15,[女士找鸭子经历],3,2
0:00:00,1.15158E+16,[2008年运程],4,3
0:00:00,2.67063E+16,[芭蕾舞剧《天鹅湖》],5,6
0:00:00,1.53204E+15,[不锈钢],1,1
0:00:01,1.43622E+16,[明星合成],64,21
0:00:01,8.95884E+15,[骆冰下载],6,3
0:00:01,1.49181E+16,[欧洲冠军联赛决赛],4,1
0:00:01,1.53204E+15,[不锈钢],1,2
0:00:01,3.61501E+15,[18+girl+japan],4,15
0:00:01,8.76194E+15,[年轻人住房问题],11,7
0:00:01,7.99346E+15,[黑帮千金要结婚],7,2
0:00:01,7.94012E+15,[MD游戏下载],6,6
0:00:01,8.66575E+14,[印尼排华是怎么回事],8,2
0:00:01,4.63942E+16,[测出四川汶川地震],42,26
0:00:01,2.02516E+16,[彩信相册],2,1
0:00:01,5.38809E+15,[免费看三级图片],9,7
0:00:01,7.81232E+15,[link:jejie.cn],1,3
0:00:01,9.99805E+15,[sj+c中文首站],2,9
0:00:02,7.33233E+15,[女犯鞭刑],6,8
0:00:02,9.0262E+15,[scat],13,24
0:00:02,1.42121E+15,[健美],8,2
0:00:02,2.67175E+15,[哄抢救灾物资],2,5
0:00:02,2.18726E+15,[www.5252se.com],1,1
0:00:02,5.68788E+15,[对坚持科学发展观、构建和谐社会的认识],5,29
0:00:02,7.59496E+15,[蒙古国地图],2,2
0:00:02,9.76637E+15,[英语培训],1,1
0:00:02,6.25278E+15,[房价什么时间下调],1,5
0:00:02,7.13926E+15,[党宁的博客],5,4
0:00:02,8.18182E+15,[窗外],5,2
0:00:02,2.85562E+16,[2008年新兴行业],3,15
0:00:02,3.64808E+15,[耐克凉鞋],4,18
0:00:02,6.31758E+15,[哄抢救灾物资],1,1
0:00:02,1.73263E+16,[fucking],115,65
0:00:03,3.58043E+16,[免费取名],3,1
0:00:03,3.54947E+16,[哄抢救灾物资],2,3
0:00:03,7.32177E+15,[欧美金发女郎],2,4
0:00:03,4.30802E+16,[google],1,1
0:00:03,9.82681E+15,[欧美+模特],20,22
0:00:03,6.62561E+15,[哄抢救灾物资],1,1
